date,lo20,hi20,lo10,hi10
201102,3.42,2.08,3.4,2.9
201103,0.13,0.79,0.67,0.35
201104,3.27,2.25,3.01,3.22
201105,-0.86,-2.31,0.17,-1.19
201106,-1.44,-3.11,-1.49,-3.07
201107,-2.81,-2.34,-2.38,-2.92
201108,-2.94,-10.43,-1.78,-11.62
201109,-4.61,-13.85,-3.9,-14.74
201110,8.32,12.22,7.08,11.58
201111,1,-4.44,1.31,-1.93
201112,2.93,-1.99,2.89,-2.12
201201,1.59,11.13,0.61,13.92
201202,2.53,5.95,2.22,6.81
201203,3.5,0.95,3.01,0.3
201204,-0.04,-2.93,0.34,-5.65
201205,-4.41,-9.95,-3.14,-9.17
201206,4.97,4.19,5.37,2.42
201207,1.58,-2.49,1.88,-3.55
201208,0.53,4.26,-0.48,4.49
201209,2.5,2.82,2.79,3.91
201210,-1.19,-3.92,-1.63,-3.56
201211,0,2.03,-0.24,3.58
201212,0.41,3.11,0.24,3.38
201301,5.93,8.01,5.9,8.27
201302,2.27,-0.96,2.55,-1.89
201303,3.87,3.46,3.09,5.13
201304,1.93,0.7,2.51,3.06
201305,1.13,5.87,1.18,5.06
201306,-0.24,-0.62,-0.2,-0.5
201307,5.57,8.4,5.53,7.98
201308,-4.23,-1.3,-4.6,-0.19
201309,2.23,5.68,1.75,8.46
201310,4.38,1.88,4.32,-1.02
201311,3.07,3,3.34,3.07
201312,2.1,3.96,1.62,3.07
201401,-4.44,1.1,-4.19,3.23
201402,3.64,7.85,3.02,8.69
201403,2,-5.85,3.07,-6.18
201404,1.08,-5.54,0.91,-7.61
201405,1.51,0.61,1.17,0.83
201406,1.85,7.29,1.78,10.63
201407,-1.89,-5.35,-2.66,-6.09
201408,3.53,5.14,3.53,6.44
201409,-0.78,-4.42,-0.72,-3.73
201410,2.64,2.81,1.71,1.83
201411,2.66,-1.24,2.38,0
201412,0.05,-0.27,0.12,0.79
201501,-3.42,-0.25,-5.05,-3.73
201502,6.24,7.37,6.72,8.61
201503,-1.45,-1.07,-1.72,0.21
201504,0.2,0.5,0.44,0.28
201505,1.23,1.84,1.34,1.63
201506,-1.4,-1.87,-1.14,-2.5
201507,2.57,-2.94,2.37,-4.32
201508,-6.32,-7.01,-6.14,-7.48
201509,-1.77,-10.46,-1.62,-13.96
201510,7.44,5.72,7.4,8.87
201511,0.47,2.03,0.52,1.26
201512,-1.27,-4.42,-1.49,-2.03
201601,-4.24,-16.12,-3.96,-18.04
201602,-0.66,0.96,-0.41,0.55
201603,6.47,10.62,6.19,15.45
201604,0,9.21,0.93,15.65
201605,1.45,0.66,0.91,-1.02
201606,1.43,-0.02,1.72,-3.65
201607,2.8,6.93,2.17,8.1
201608,-0.08,1.83,0.41,-0.17
201609,-0.49,3.68,-0.82,5.35
201610,-1.64,-8.42,-1.67,-10.79
201611,4.14,9.19,3.4,11.57
201612,2.69,0.02,2.56,0.29
201701,1.46,4.04,1.06,3.69
201702,4.27,0.72,4.44,2.29
201703,0.17,0.24,-0.26,-1.83
201704,1.33,0.44,1.74,-0.8
201705,1.84,-0.72,1.78,-0.42
201706,0.09,3.65,1.04,6.05
201707,1.98,2.24,2.34,-0.77
201708,1.18,-0.84,0.71,0.24
201709,2.53,4.69,1.96,7.09
201710,3.39,-2.29,3.33,-2.51
201711,3.12,2.6,3.05,5.66
201712,1.21,2.08,0.86,3.01
201801,5.09,3.59,4.86,4.69
201802,-2.74,-1.87,-3.8,-2.3
201803,-2.57,-0.19,-3.01,-1.29
201804,0.27,0.6,0,-0.13
201805,1.26,7.66,0.54,6.98
201806,0.57,1.51,-0.14,0.15
201807,5.37,-0.17,6.15,-0.59
201808,4.53,4.43,6.31,6.47
201809,0.55,-3.44,0.35,-1.98
201810,-6.27,-11.59,-4.2,-13.03
201811,2.35,0.17,3.93,2.21
201812,-8.92,-12.28,-8.81,-12.93
201901,6.59,13.51,6.33,10.95
201902,3.8,5.52,4.27,7.06
201903,1.27,0.53,1.93,1.13
201904,4.88,-0.19,4.71,0.21
201905,-5.69,-9.56,-5.26,-9.79
201906,6.74,8.93,6.87,7.51
201907,1.06,-1.11,1.45,-1.66
201908,-0.8,-6.75,-0.63,-6.51
201909,2.39,-1.56,1.53,-2.9
201910,2.05,1.24,1.56,-2.74
201911,3.21,9.21,2.85,7.54
